City	 County	 State	 Population	 Recyclable Material (TPD)	 Processing Revenue	 Material Revenue	 Pickup Revenue	 Distance	 Truck expense	 House hold cost	 Processing Cost	 Net Recycling	 Annualized	 Latitude	 Longitude 

Cheyenne	Laramie	Wyoming	79484.0	42.92	1287.64	5728.95	1655.92	0.0	0.0	1.17	2299.73	6372.78	2326064.7	41.1351	-104.79
Garland	Park	Wyoming	202.0	0.1	3.27	14.56	4.21	318.5309957136968	24.65	0.03	5.84	16.2	5913.0	44.7777	-108.6542
Hyattville	Big Horn	Wyoming	97.0	0.05	1.57	6.99	2.02	258.58450547796144	9.61	0.01	2.81	7.77	2836.05	44.2498	-107.6148
Arvada	Sheridan	Wyoming	22.0	0.01	0.36	1.59	0.46	253.0937798924447	2.13	0.0	0.64	1.77	646.05	44.6621	-106.1419
Big Horn	Sheridan	Wyoming	483.0	0.26	7.82	34.81	10.06	269.098392957382	49.79	0.05	13.97	38.72	14132.8	44.6791	-106.9971
Alta	Teton	Wyoming	460.0	0.24	7.45	33.16	9.58	366.52966829000485	64.58	0.07	13.31	36.88	13461.2	43.7737	-111.0312
Hoback	Teton	Wyoming	1439.0	0.77	23.31	103.72	29.98	339.52457504542804	187.14	0.19	41.63	115.38	42113.7	43.3082	-110.7443
Lucerne	Hot Springs	Wyoming	462.0	0.24	7.48	33.3	9.62	248.46540533979308	43.97	0.05	13.37	37.03	13515.95	43.7136	-108.1873
Crowheart	Fremont	Wyoming	150.0	0.08	2.43	10.81	3.12	273.39468167901015	15.71	0.02	4.34	12.02	4387.3	43.3398	-109.2298
Arapahoe	Fremont	Wyoming	1829.0	0.98	29.63	131.83	38.1	227.5779167049217	159.44	0.17	52.92	146.64	53523.6	42.9912	-108.4562
Ethete	Fremont	Wyoming	1486.0	0.8	24.07	107.11	30.96	239.34660770210945	136.24	0.15	42.99	119.15	43489.75	43.0008	-108.723
Fort Washakie	Fremont	Wyoming	1741.0	0.94	28.2	125.49	36.27	248.14849475131422	165.48	0.18	50.37	139.59	50950.35	43.0069	-108.9205
Jeffrey City	Fremont	Wyoming	29.0	0.01	0.47	2.09	0.6	181.86982665425097	2.02	0.0	0.84	2.32	846.8	42.4808	-107.8256
Lance Creek	Niobrara	Wyoming	32.0	0.01	0.52	2.31	0.67	131.84049941589774	1.62	0.0	0.93	2.57	938.05	43.041	-104.6626
Esterbrook	Converse	Wyoming	87.0	0.04	1.41	6.27	1.81	93.03119079286503	3.1	0.0	2.52	6.97	2544.05	42.4062	-105.3858
Brookhurst	Natrona	Wyoming	180.0	0.09	2.92	12.97	3.75	140.27058970326183	9.67	0.01	5.21	14.43	5266.95	42.8618	-106.2272
Cora	Sublette	Wyoming	49.0	0.02	0.79	3.53	1.02	295.02708728099157	5.54	0.01	1.42	3.92	1430.8	42.9578	-109.9917
Bondurant	Sublette	Wyoming	59.0	0.03	0.96	4.25	1.23	320.62885830199116	7.25	0.01	1.71	4.73	1726.45	43.1948	-110.4026
Boulder	Sublette	Wyoming	32.0	0.01	0.52	2.31	0.67	276.04858592083826	3.38	0.0	0.93	2.57	938.05	42.7461	-109.7067
Auburn	Lincoln	Wyoming	481.0	0.25	7.79	34.67	10.02	339.5434454647634	62.56	0.06	13.92	38.56	14074.4	42.7943	-111.0135
Bedford	Lincoln	Wyoming	289.0	0.15	4.68	20.83	6.02	338.4210340385451	37.46	0.04	8.36	23.17	8457.05	42.8983	-110.9432
